SeqId	Reference
13055-53	594.2
13056-18	210.0
13059-33	640.5
13062-4	4402.9
13066-42	2237.8
13067-5	2020.2
13068-139	231.2
13073-14	1143.2
13076-4	2203.2
13078-3	2854.1
13082-9	2723.8
13083-18	1420.6
13085-18	639.6
13088-397	505.4
13089-6	292.9
13090-17	1344.4
13093-6	755.4
13094-75	760.4
13095-51	7777.3
13097-11	479.4
13098-93	10796.8
13101-60	1478.1
13102-1	5784.4
13103-125	859.3
13104-32	965.5
13105-7	842.0
13107-9	879.5
13109-82	2254.0
13111-79	1516.6
13112-179	18490.8
13113-7	571.8
13114-50	5972.9
13116-25	337.7
13117-232	4804.4
13118-5	1510.2
13119-26	7498.6
13122-19	7255.8
13123-3	2448.8
13124-20	3055.1
13125-45	2983.3
13126-52	995.3
13129-40	184.3
13130-150	778.0
13131-5	2287.7
13132-14	3911.6
13133-73	12453.5
13228-75	580.2
13229-20	751.8
13230-174	224.1
13231-90	654.2
13236-25	3475.0
13240-170	127.2
13242-134	709.6
13256-21	915.8
13268-45	1209.6
13374-4	8213.5
13375-48	311.6
13377-3	1727.1
13378-80	3710.7
13381-49	17539.7
13384-110	3823.4
13386-248	674.6
13387-55	372.9
13388-57	1646.8
13389-8	1811.8
13392-13	1325.5
13393-46	956.9
13397-88	24685.4
13399-33	273.8
13403-5	295.7
13405-61	452.5
13406-161	1060.7
13408-23	2036.4
13409-9	665.3
13411-21	612.0
13412-5	208.9
13416-8	3380.3
13421-17	1818.3
13422-66	981.1
13423-94	1022.8
13424-51	1584.0
13427-66	823.6
13429-3	692.1
13430-50	1326.5
13431-74	299.5
13432-9	450.1
13434-172	1269.4
13435-31	1947.0
13436-54	478.6
13438-115	3400.2
13439-6	1102.0
13441-30	147.8
13447-42	1679.9
13449-25	312.9
13450-49	2461.8
13451-2	411.4
13452-113	653.1
13453-2	852.0
13455-10	5157.5
13457-33	343.6
13459-30	542.8
13460-4	10837.0
13463-1	829.8
13464-8	1130.7
13465-5	1762.9
13468-5	1155.6
13470-43	1200.8
13472-35	2255.8
13473-55	698.1
13474-40	2130.2
13475-10	21149.8
13476-16	364.1
13477-65	643.7
13479-8	869.5
13481-24	888.2
13482-14	1096.7
13484-69	201.2
13485-20	2755.3
13486-9	683.5
13487-24	317.6
13488-3	3001.9
13490-1	1327.9
13491-40	1443.8
13492-44	2287.6
13493-5	480.9
13494-6	388.0
13495-48	2605.4
13496-19	5319.2
13497-34	2192.6
13498-1	670.5
13499-30	19780.0
13500-9	1804.5
13501-10	2081.3
13502-2	1032.8
13503-19	1614.5
13504-147	1409.0
13506-10	953.8
13507-51	1105.8
13509-5	446.2
13510-7	1473.1
13511-29	543.8
13512-28	665.3
13513-174	329.1
13514-121	547.0
13515-8	623.0
13516-46	549.3
13517-3	319.0
13518-5	2526.9
13519-112	488.5
13522-20	707.5
13524-25	681.2
13525-17	1829.4
13526-5	391.1
13529-39	888.0
13530-5	552.2
13532-25	478.9
13534-20	5143.1
13535-2	588.9
13536-56	256.9
13539-131	800.9
13540-1	1370.1
13541-1	702.5
13543-7	1180.8
13544-9	7284.8
13545-97	510.8
13547-5	1540.8
13548-53	454.4
13549-15	723.1
13552-7	1572.0
13553-4	514.0
13554-78	620.0
13556-28	1189.0
13557-3	563.2
13561-5	1502.7
13563-259	825.4
13565-2	994.0
13566-2	280.4
13567-1	3062.0
13568-30	488.3
13570-43	362.4
13572-43	3251.8
13573-5	2715.1
13574-50	397.0
13575-40	4936.1
13576-15	3445.1
13577-25	874.5
13578-98	419.9
13580-2	345.6
13583-19	1755.8
13587-10	1636.0
13588-11	216.6
13589-10	1448.2
13590-1	1573.9
13591-31	412.6
13594-158	13554.3
13595-20	1013.0
13596-3	1453.0
13597-20	417.9
13599-15	573.4
13602-6	896.5
13603-7	1379.8
13604-27	1079.5
13605-16	2189.6
13609-11	248.8
13610-9	4593.1
13612-7	168.1
13613-23	233.4
13614-6	5520.1
13615-60	18558.8
13618-15	976.5
13620-10	380.2
13621-31	14400.7
13622-16	19682.1
13623-4	755.0
13624-17	421.6
13625-19	455.4
13628-58	655.5
13629-25	2530.0
13631-1	854.0
13632-10	9295.5
13634-209	1259.2
13636-20	23860.4
13639-101	646.6
13640-5	376.8
13642-90	478.6
13644-30	2159.9
13645-14	705.3
13650-11	1308.7
13651-54	352.9
13652-2	1075.5
13653-335	894.1
13654-1	1411.8
13655-34	417.1
13657-2	758.0
13658-31	1049.6
13659-36	28523.3
13660-76	10167.7
13661-193	393.5
13663-2	162.4
13665-35	593.4
13666-222	1351.5
13668-44	464.3
13669-6	6408.1
13670-81	472.9
13671-40	55349.4
13672-3	1533.5
13673-21	2966.5
13676-46	9061.7
13678-169	18364.8
13680-3	334.0
13681-173	556.4
13682-47	4418.8
13683-18	231.8
13686-2	1470.1
13687-5	895.8
13688-2	367.3
13689-2	1332.7
13690-26	2243.4
13691-10	2496.9
13692-154	646.8
13693-5	668.6
13694-24	369.0
13697-51	2953.0
13698-28	653.0
13699-6	840.4
13700-10	10721.8
13701-2	1021.5
13704-5	332.4
13706-12	374.8
13707-27	5540.2
13708-56	2361.2
13710-6	17035.3
13711-10	630.1
13712-104	1286.0
13713-164	536.0
13717-15	22122.0
13719-19	2333.1
13720-95	1763.9
13722-105	59007.4
13723-6	574.8
13724-27	3384.7
13725-3	1601.3
13726-4	226.8
13727-44	491.8
13728-19	2430.8
13729-26	597.7
13730-18	17144.1
13731-14	28592.8
13732-79	3921.3
13733-5	222.3
13734-22	732.5
13735-1	703.0
13738-8	859.4
13739-3	354.7
13740-51	1767.5
13741-36	13335.0
13742-66	1586.8
13743-56	719.9
13744-37	6264.9
13745-10	525.0
13747-9	5445.1
13748-4	293.5
13924-13	1020.9
13926-1	1294.7
13929-27	695.0
13930-3	1127.0
13931-22	3300.1
13932-45	1352.0
13933-276	2982.9
13934-3	534.1
13936-24	354.5
13937-75	2107.2
13939-14	511.8
13940-19	3155.4
13941-82	1271.7
13942-140	552.0
13943-38	3957.2
13944-3	847.1
13946-8	1313.6
13947-371	1137.3
13948-50	1138.0
13950-9	1090.5
13954-9	1845.0
13955-33	458.9
13958-5	269.9
13959-7	41960.9
