Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
PLUNC	6473-55	Protein	20	2.8155831178968986	0.1789541916733568	666.7457396127182	303.1203542529294
IGLO5	6478-2	Protein	20	3.4313248364286992	0.1034177833290586	2714.20917410837	666.261456925173
CANT1	6480-1	Protein	20	2.6614763210294754	0.12718187255307645	470.7002844136894	139.72571431878328
IGLL1	6485-59	Protein	20	3.2459717962091967	0.283217799897854	1793.1093503837074	1579.1004212348378
kallikrein 15	6491-59	Protein	20	2.9435981175525567	0.07497889178534103	874.4346616080581	137.30126955522724
CBPZ	6493-9	Protein	20	2.7203282743355097	0.12707760005803825	541.7670636234556	159.0311864327833
sperm acrosome associated 5	6494-60	Protein	20	2.58515529533737	0.11618628138723563	394.9647371508369	105.48600772334909
Endothelin 1	6495-14	Protein	20	2.6812029724900968	0.08620169310467407	486.25526605647985	95.96456339013757
DLK1	6496-60	Protein	0.5	2.704971812476434	0.19855119898767204	503.58988781669814	272.14666494504587
XLRS1	6497-10	Protein	20	2.992921108187641	0.11494921416788717	998.3206310168696	270.05038003410584
CRIM1	6502-50	Protein	20	3.196265944218554	0.11691526398704233	1584.6709775884597	442.65391809485146
Lysyl oxidase-like protein 2	6504-65	Protein	20	2.4410937802958004	0.11350971402855103	282.54474938606245	73.98688090028134
TMEDA	6506-54	Protein	0.5	3.0068279088857284	0.13121792464256554	1032.7689072503533	323.8702689325889
NCAM2	6507-16	Protein	20	3.1578430358996386	0.14995527285534416	1452.5348272541294	539.3980640467822
SG1D2	6508-68	Protein	0.5	3.0016730581704527	0.10259300595606984	1009.3369360693783	230.61616716522184
RN128	6510-56	Protein	20	3.3445022928336536	0.13765550419252426	2221.0867067576455	752.7168932034328
F19A4	6511-17	Protein	20	2.908660286990829	0.1005892295476487	822.682517977045	191.40292520780966
KREM1	6512-68	Protein	20	3.4893833555852267	0.12531439107127262	3104.642756442025	942.4613224800813
BMP-3b	6517-14	Protein	20	3.012541511600469	0.14153088218518772	1050.547789941987	357.4342907130751
ghrelin	6518-85	Protein	20	2.9964832639651093	0.19845689780921827	1015.463487701099	561.7353743436144
MGP	6520-87	Protein	0.5	3.730435952006135	0.10409824380341903	5326.049036696354	1304.9609532360396
NPTX2	6521-35	Protein	0.5	3.1579043856108555	0.17001550279214594	1474.755265722263	622.8237286694904
Fc_MOUSE	6522-57	Protein	0.5	4.362324096242416	0.13693519616575367	22737.64566081656	7907.616202983718
DUSP13	6525-17	Protein	20	3.4919443888752317	0.1390672605401444	3041.891828593209	1013.9638595059578
OBP2A	6526-77	Protein	20	2.79412376658758	0.10606096057833314	638.2897545002695	153.95709745342606
TRIL	6527-1	Protein	20	3.2533159008188304	0.15354541027016966	1816.2668174683793	689.548533739161
EXTL2	6528-95	Protein	20	2.943032374184743	0.16382610798095198	886.0251889609431	365.9631654480805
PROL1	6530-63	Protein	20	2.4197475651801437	0.08735764412736247	267.3352975570584	52.981746481264054
