SeqId	Target	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD	SeqId
6941-11	SUMF1	Protein	0.5	3.397496286187572	0.14621753937006035	2497.45	1149.4010188866696	6941-11
6947-4	SIA10	Protein	0.5	3.950615501648013	0.09052064172011812	8925.15	2197.606275270622	6947-4
6948-82	FIG4	Protein	20.0	2.884794994832058	0.10267091891979903	767.0	1958.3350168584404	6948-82
6951-26	ASIC4	Protein	20.0	3.078474667765631	0.1062942267732107	1198.0500000000002	416.2042421056621	6951-26
6955-68	SNX1	Protein	20.0	3.302135699419688	0.12910508913324395	2005.1	6162.335162058229	6955-68
6957-14	LIPR2	Protein	20.0	3.23513678553531	0.20824981357811168	1718.45	1496.756613095519	6957-14
6961-14	IGFL3	Protein	20.0	3.6414983977988644	0.16473360240217766	4380.25	2991.019947219794	6961-14
6962-5	DRB3	Protein	0.5	3.214114982696854	0.11739428534941822	1637.25	478.8529490451009	6962-5
6963-82	SELPL	Protein	20.0	3.0250803564850193	0.1728834930317395	1059.45	496.0460825628925	6963-82
6965-19	CNTP2	Protein	20.0	3.044696430502306	0.0951414249131396	1108.4	282.2026798925406	6965-19
6966-144	STX1B	Protein	20.0	2.7935459028662395	0.07537258918211752	621.65	159.7278630378248	6966-144
6967-5	Fc_MOUSE	Protein	20.0	2.3125979172208595	0.08292514339240033	205.39999999999998	281.9505871624579	6967-5
6969-14	WFDC5	Protein	20.0	2.597969244108765	0.09801238055447281	396.25	130.98148933283107	6969-14
6973-111	IGF-II	Protein	20.0	3.3043065017851223	0.17097689929938797	2015.15	924.741493605861	6973-111
6974-6	HG2A	Protein	20.0	2.6022220583926026	0.09027943347292623	400.15	474.4418631712688	6974-6
6975-52	SNAPN	Protein	20.0	2.865755079011839	0.09739040087284204	734.1	812.70998179233	6975-52
6984-6	IGSF8	Protein	20.0	3.3263870717604602	0.0728110370705744	2120.25	697.8538137824316	6984-6
6986-17	HS3SB	Protein	20.0	2.991757458337005	0.08963401308446109	981.2	350.3320847695857	6986-17
6990-44	SDF2L	Protein	20.0	3.1653629685652005	0.11286932662166195	1463.4	584.719540174639	6990-44
6991-24	FUT9	Protein	20.0	3.4966871758458735	0.09091416197963563	3138.25	4780.8801995821605	6991-24
6992-67	HBD	Protein	20.0	3.142389437940495	0.14797240262479142	1388.0	441.72585287325603	6992-67
6993-8	5'-Nucleotidase	Protein	20.0	2.621332098016034	0.09259500191514732	418.15	195.55907970818313	6993-8
6994-19	CC018	Protein	20.0	3.6078353947623434	0.1373385337822683	4053.55	1303.8690384474296	6994-19
6997-32	RAB26	Protein	20.0	3.367240757136996	0.12878759518419503	2329.4	774.429340359116	6997-32
6998-106	HAAH	Protein	20.0	3.4663485030955687	0.07124367987035002	2926.5	1611.3261523727197	6998-106
7002-1	MXRA8	Protein	20.0	2.77786156981697	0.1165142764426193	599.5999999999999	291.5375462414816	7002-1
7003-4	GLT10	Protein	20.0	2.76027163434389	0.07712608539991149	575.8	700.1067935552148	7003-4
7006-4	COPA1	Protein	20.0	2.35879115198984	0.07368997637659838	228.45	75.02062019478473	7006-4
7007-24	TRAPPC4	Protein	20.0	2.580639728518772	0.08019525056611314	380.75	204.23465194282895	7007-24
7008-13	F176C	Protein	20.0	4.53440230099584	0.13583790483171201	34229.65	10586.865149357154	7008-13
7009-6	CD72	Protein	20.0	2.8920095759706532	0.09785121524713779	779.8499999999999	207.021437042351	7009-6
7009-8	CD72	Protein	20.0	3.0910335032036813	0.12362066619452605	1233.2	418.40754643879785	7009-8
7011-8	KCIP4	Protein	20.0	2.5280144325513083	0.20256333303828464	337.3	212.5792651126694	7011-8
7012-35	VNN2	Protein	20.0	3.1853863021548356	0.09819196304191687	1532.4499999999998	574.9395929652522	7012-35
7014-27	Fc_MOUSE	Protein	20.0	3.1069718691610717	0.17334845628481318	1279.3	1289.1734985346675	7014-27
7015-8	LIRB5	Protein	0.5	4.0914611888475845	0.1930867147315842	12344.150000000001	5226.723489472153	7015-8
7016-12	GCNT1	Protein	20.0	2.9247701557157235	0.08631267180844363	840.95	374.02607478832937	7016-12
